Month,Channel,First Source / Medium,First Campaign,Last Source / Medium,Last Campaign,# of visits,Full path (Source / Medium),Full path (Campaign),Conversions
2016/06,Direct,(direct) / (none),(direct) / (none),login.microsoftonline.com / referral,login.microsoftonline.com / referral,3,(direct) / (none) > hs_email / email > login.microsoftonline.com / referral,(direct) / (none) > (not set) > login.microsoftonline.com / referral,1
2016/06,Direct,(direct) / (none),(direct) / (none),ERROR,ERROR,54,(direct) / (none) > linkedin.com / referral > preview.hs-sites.com / referral > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > preview.hs-sites.com / referral > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > linkedin.com / referral > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > login.microsoftonline.com / referral > login.microsoftonline.com / referral > (direct) / (none) > (direct) / (none) > contactually.atlassian.net / referral > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > preview.hs-sites.com / referral > app.intercom.io / referral > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none),(direct) / (none) > linkedin.com / referral > preview.hs-sites.com / referral > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > preview.hs-sites.com / referral > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > linkedin.com / referral > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > login.microsoftonline.com / referral > login.microsoftonline.com / referral > (direct) / (none) > (direct) / (none) > contactually.atlassian.net / referral > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > preview.hs-sites.com / referral > app.intercom.io / referral > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none),1
2016/06,Direct,(direct) / (none),(direct) / (none),ERROR,ERROR,58,(direct) / (none) > facebook.com / referral > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > apisandbox.zuora.com / referral > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > contactually.com / referral > (direct) / (none) > (direct) / (none) > (direct) / (none) > google / organic > facebook.com / referral > (direct) / (none) > (direct) / (none) > (direct) / (none) > linkedin.com / referral > preview.hs-sites.com / referral > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > preview.hs-sites.com / referral > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > linkedin.com / referral > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > login.microsoftonline.com / referral > login.microsoftonline.com / referral > (direct) / (none),(direct) / (none) > facebook.com / referral > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > apisandbox.zuora.com / referral > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > contactually.com / referral > (direct) / (none) > (direct) / (none) > (direct) / (none) > google / organic > facebook.com / referral > (direct) / (none) > (direct) / (none) > (direct) / (none) > linkedin.com / referral > preview.hs-sites.com / referral > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > preview.hs-sites.com / referral > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > linkedin.com / referral > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > login.microsoftonline.com / referral > login.microsoftonline.com / referral > (direct) / (none),1
2016/06,Direct,(direct) / (none),(direct) / (none),ERROR,ERROR,60,(direct) / (none) > facebook.com / referral > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > apisandbox.zuora.com / referral > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > contactually.com / referral > (direct) / (none) > (direct) / (none) > (direct) / (none) > google / organic > facebook.com / referral > (direct) / (none) > (direct) / (none) > (direct) / (none) > linkedin.com / referral > preview.hs-sites.com / referral > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > preview.hs-sites.com / referral > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > linkedin.com / referral > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > login.microsoftonline.com / referral > login.microsoftonline.com / referral > (direct) / (none) > (direct) / (none) > contactually.atlassian.net / referral,(direct) / (none) > facebook.com / referral > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > apisandbox.zuora.com / referral > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > contactually.com / referral > (direct) / (none) > (direct) / (none) > (direct) / (none) > google / organic > facebook.com / referral > (direct) / (none) > (direct) / (none) > (direct) / (none) > linkedin.com / referral > preview.hs-sites.com / referral > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > preview.hs-sites.com / referral > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > linkedin.com / referral > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > login.microsoftonline.com / referral > login.microsoftonline.com / referral > (direct) / (none) > (direct) / (none) > contactually.atlassian.net / referral,1
2016/06,Direct,(direct) / (none),(direct) / (none),login.microsoftonline.com / referral,login.microsoftonline.com / referral,4,(direct) / (none) > Other Campaigns / Reseller Partners > (direct) / (none) > login.microsoftonline.com / referral,(direct) / (none) > Reseller Partners > (direct) / (none) > login.microsoftonline.com / referral,1
2016/06,Direct,(direct) / (none),(direct) / (none),accounts.google.com / referral,accounts.google.com / referral,16,(direct) / (none) > Other Campaigns / Reseller Partners > google / organic > (direct) / (none) > (direct) / (none) > accounts.google.com / referral > api.twitter.com / referral > google / organic > (direct) / (none) > (direct) / (none) > accounts.google.com / referral > google / organic > (direct) / (none) > (direct) / (none) > (direct) / (none) > accounts.google.com / referral,(direct) / (none) > Reseller Partners > google / organic > (direct) / (none) > (direct) / (none) > accounts.google.com / referral > api.twitter.com / referral > google / organic > (direct) / (none) > (direct) / (none) > accounts.google.com / referral > google / organic > (direct) / (none) > (direct) / (none) > (direct) / (none) > accounts.google.com / referral,1
2016/06,Direct,(direct) / (none),(direct) / (none),(direct) / (none),(direct) / (none),15,(direct) / (none) > pwm.trendmicro.com / referral > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none),(direct) / (none) > pwm.trendmicro.com / referral > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none),1
2016/06,Direct,(direct) / (none),(direct) / (none),accounts.google.com / referral,accounts.google.com / referral,3,(direct) / (none) > mls association clareity / (not set) > accounts.google.com / referral,(direct) / (none) > Clareity > accounts.google.com / referral,1
2016/06,Direct,(direct) / (none),(direct) / (none),accounts.google.com / referral,accounts.google.com / referral,10,(direct) / (none) > contactually.workable.com / referral > google / organic > (direct) / (none) > (direct) / (none) > contactually.workable.com / referral > (direct) / (none) > (direct) / (none) > (direct) / (none) > accounts.google.com / referral,(direct) / (none) > contactually.workable.com / referral > google / organic > (direct) / (none) > (direct) / (none) > contactually.workable.com / referral > (direct) / (none) > (direct) / (none) > (direct) / (none) > accounts.google.com / referral,1
2016/06,Direct,(direct) / (none),(direct) / (none),hs_automation / email,(not set),3,(direct) / (none) > login.microsoftonline.com / referral > hs_automation / email,(direct) / (none) > login.microsoftonline.com / referral > (not set),1
2016/06,Direct,(direct) / (none),(direct) / (none),accounts.google.com / referral,accounts.google.com / referral,6,(direct) / (none) > login.microsoftonline.com / referral > (direct) / (none) > bing / cpc > login.microsoftonline.com / referral > accounts.google.com / referral,(direct) / (none) > login.microsoftonline.com / referral > (direct) / (none) > Contactually | WP - Brand > login.microsoftonline.com / referral > accounts.google.com / referral,1
2016/06,Direct,(direct) / (none),(direct) / (none),login.microsoftonline.com / referral,login.microsoftonline.com / referral,5,(direct) / (none) > login.microsoftonline.com / referral > (direct) / (none) > (direct) / (none) > login.microsoftonline.com / referral,(direct) / (none) > login.microsoftonline.com / referral > (direct) / (none) > (direct) / (none) > login.microsoftonline.com / referral,1
2016/06,Direct,(direct) / (none),(direct) / (none),(direct) / (none),(direct) / (none),6,(direct) / (none) > login.microsoftonline.com / referral > (direct) / (none) > login.microsoftonline.com / referral > (direct) / (none) > (direct) / (none),(direct) / (none) > login.microsoftonline.com / referral > (direct) / (none) > login.microsoftonline.com / referral > (direct) / (none) > (direct) / (none),1
2016/06,Direct,(direct) / (none),(direct) / (none),accounts.google.com / referral,accounts.google.com / referral,3,(direct) / (none) > login.microsoftonline.com / referral > accounts.google.com / referral,(direct) / (none) > login.microsoftonline.com / referral > accounts.google.com / referral,1
2016/06,Direct,(direct) / (none),(direct) / (none),(direct) / (none),(direct) / (none),4,(direct) / (none) > accounts.google.com / referral > (direct) / (none) > (direct) / (none),(direct) / (none) > accounts.google.com / referral > (direct) / (none) > (direct) / (none),1
2016/06,Direct,(direct) / (none),(direct) / (none),(direct) / (none),(direct) / (none),5,(direct) / (none) > accounts.google.com / referral > (direct) / (none) > (direct) / (none) > (direct) / (none),(direct) / (none) > accounts.google.com / referral > (direct) / (none) > (direct) / (none) > (direct) / (none),1
2016/06,Direct,(direct) / (none),(direct) / (none),accounts.google.com / referral,accounts.google.com / referral,5,(direct) / (none) > firstteam.yapmo.com / referral > (direct) / (none) > (direct) / (none) > accounts.google.com / referral,(direct) / (none) > firstteam.yapmo.com / referral > (direct) / (none) > (direct) / (none) > accounts.google.com / referral,1
2016/06,Direct,(direct) / (none),(direct) / (none),accounts.google.com / referral,accounts.google.com / referral,11,(direct) / (none) > firstteam.yapmo.com / referral > (direct) / (none) > (direct) / (none) > accounts.google.com / referral > firstteam.yapmo.com / referral > accounts.google.com / referral > firstteam.yapmo.com / referral > (direct) / (none) > (direct) / (none) > accounts.google.com / referral,(direct) / (none) > firstteam.yapmo.com / referral > (direct) / (none) > (direct) / (none) > accounts.google.com / referral > firstteam.yapmo.com / referral > accounts.google.com / referral > firstteam.yapmo.com / referral > (direct) / (none) > (direct) / (none) > accounts.google.com / referral,1
2016/06,Direct,(direct) / (none),(direct) / (none),accounts.google.com / referral,accounts.google.com / referral,15,(direct) / (none) > firstteam.yapmo.com / referral > (direct) / (none) > (direct) / (none) > accounts.google.com / referral > firstteam.yapmo.com / referral > accounts.google.com / referral > firstteam.yapmo.com / referral > (direct) / (none) > (direct) / (none) > accounts.google.com / referral > firstteam.yapmo.com / referral > (direct) / (none) > (direct) / (none) > accounts.google.com / referral,(direct) / (none) > firstteam.yapmo.com / referral > (direct) / (none) > (direct) / (none) > accounts.google.com / referral > firstteam.yapmo.com / referral > accounts.google.com / referral > firstteam.yapmo.com / referral > (direct) / (none) > (direct) / (none) > accounts.google.com / referral > firstteam.yapmo.com / referral > (direct) / (none) > (direct) / (none) > accounts.google.com / referral,1
2016/06,Direct,(direct) / (none),(direct) / (none),accounts.google.com / referral,accounts.google.com / referral,3,(direct) / (none) > Customer Referrals_Share Page / Email > accounts.google.com / referral,(direct) / (none) > Customer Referrals > accounts.google.com / referral,1
2016/06,Direct,(direct) / (none),(direct) / (none),accounts.google.com / referral,accounts.google.com / referral,3,(direct) / (none) > merchantmaverick.com / referral > accounts.google.com / referral,(direct) / (none) > merchantmaverick.com / referral > accounts.google.com / referral,1
2016/06,Direct,(direct) / (none),(direct) / (none),accounts.google.com / referral,accounts.google.com / referral,4,(direct) / (none) > mlsfinder1a.test1.office.wolfnet.com / referral > (direct) / (none) > accounts.google.com / referral,(direct) / (none) > mlsfinder1a.test1.office.wolfnet.com / referral > (direct) / (none) > accounts.google.com / referral,1
2016/06,Email,hs_automation / email,MOFU_General Lead Nurturing Campaign,accounts.google.com / referral,accounts.google.com / referral,3,hs_automation / email > hs_automation / email > accounts.google.com / referral,MOFU_General Lead Nurturing Campaign > Past Leads > accounts.google.com / referral,1
2016/06,Email,hs_automation / email,(not set),accounts.google.com / referral,accounts.google.com / referral,4,hs_automation / email > google / organic > google / cpc > accounts.google.com / referral,(not set) > google / organic > Contactually | WP - Brand > accounts.google.com / referral,1
2016/06,Email,hs_automation / email,(not set),accounts.google.com / referral,accounts.google.com / referral,2,hs_automation / email > accounts.google.com / referral,(not set) > accounts.google.com / referral,1
2016/06,Email,hs_email / email,(not set),hs_email / email,(not set),1,hs_email / email,(not set),1
2016/06,Email,hs_email / email,2016 Summer Business Bootcamp,accounts.google.com / referral,accounts.google.com / referral,2,hs_email / email > accounts.google.com / referral,2016 Summer Business Bootcamp > accounts.google.com / referral,1
2016/06,Email,hs_email / email,(not set),login.microsoftonline.com / referral,login.microsoftonline.com / referral,2,hs_email / email > login.microsoftonline.com / referral,(not set) > login.microsoftonline.com / referral,1
2016/06,Email,hs_email / email,(not set),accounts.google.com / referral,accounts.google.com / referral,6,hs_email / email > google / cpc > google / cpc > google / cpc > google / cpc > accounts.google.com / referral,(not set) > Contactually | WP - Brand > Contactually | WP - Brand > Contactually | WP - Brand > Contactually | WP - Brand > accounts.google.com / referral,1
2016/06,Email,hs_email / email,(not set),(direct) / (none),(direct) / (none),2,hs_email / email > (direct) / (none),(not set) > (direct) / (none),1
2016/06,Email,hs_email / email,The Follow-Up,ERROR,ERROR,87,hs_email / email > (direct) / (none) > preview.hs-sites.com / referral > (direct) / (none) > app.optimizely.com / referral > (direct) / (none) > preview.hs-sites.com / referral > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > Other Campaigns / Reseller Partners > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > app.optimizely.com / referral > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > app.optimizely.com / referral > app.optimizely.com / referral > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > app.optimizely.com / referral > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > Other Campaigns / Reseller Partners > (direct) / (none) > google / organic > app.hubspot.com / referral > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > accounts.google.com / referral > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > google / organic > (direct) / (none) > accounts.google.com / referral > (direct) / (none) > contactuallyh.staging.wpengine.com / referral > (direct) / (none) > accounts.google.com / referral,The Follow-Up > (direct) / (none) > preview.hs-sites.com / referral > (direct) / (none) > app.optimizely.com / referral > (direct) / (none) > preview.hs-sites.com / referral > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > Reseller Partners > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > app.optimizely.com / referral > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > app.optimizely.com / referral > app.optimizely.com / referral > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > app.optimizely.com / referral > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > Reseller Partners > (direct) / (none) > google / organic > app.hubspot.com / referral > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > accounts.google.com / referral > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > google / organic > (direct) / (none) > accounts.google.com / referral > (direct) / (none) > contactuallyh.staging.wpengine.com / referral > (direct) / (none) > accounts.google.com / referral,1
2016/06,Email,hs_email / email,(not set),accounts.google.com / referral,accounts.google.com / referral,6,hs_email / email > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > accounts.google.com / referral,(not set) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > accounts.google.com / referral,1
2016/06,Email,hs_email / email,The Follow-Up,accounts.google.com / referral,accounts.google.com / referral,3,hs_email / email > myhub / (not set) > accounts.google.com / referral,The Follow-Up > CTA-40533 > accounts.google.com / referral,1
2016/06,Integrations,support.bombbomb.com / referral,support.bombbomb.com / referral,accounts.google.com / referral,accounts.google.com / referral,3,support.bombbomb.com / referral > google / organic > accounts.google.com / referral,support.bombbomb.com / referral > google / organic > accounts.google.com / referral,1
2016/06,Integrations,bombbomb.com / referral,bombbomb.com / referral,(direct) / (none),(direct) / (none),5,bombbomb.com / referral > (direct) / (none) > google / organic > contactually.com / referral > (direct) / (none),bombbomb.com / referral > (direct) / (none) > google / organic > contactually.com / referral > (direct) / (none),1
2016/06,Integrations,bombbomb.com / referral,bombbomb.com / referral,accounts.google.com / referral,accounts.google.com / referral,3,bombbomb.com / referral > google / organic > accounts.google.com / referral,bombbomb.com / referral > google / organic > accounts.google.com / referral,1
2016/06,Integrations,zapier.com / referral,zapier.com / referral,google / organic,google / organic,3,zapier.com / referral > twitter.com / social > google / organic,zapier.com / referral > buffer > google / organic,1
2016/06,Integrations,zapier.com / referral,zapier.com / referral,accounts.google.com / referral,accounts.google.com / referral,4,zapier.com / referral > google / organic > ubercool.com / referral > accounts.google.com / referral,zapier.com / referral > google / organic > ubercool.com / referral > accounts.google.com / referral,1
2016/06,Integrations,zapier.com / referral,zapier.com / referral,login.microsoftonline.com / referral,login.microsoftonline.com / referral,2,zapier.com / referral > login.microsoftonline.com / referral,zapier.com / referral > login.microsoftonline.com / referral,1
2016/06,Organic,duckduckgo.com / referral,duckduckgo.com / referral,(direct) / (none),(direct) / (none),2,duckduckgo.com / referral > (direct) / (none),duckduckgo.com / referral > (direct) / (none),1
2016/06,Organic,bing / organic,bing / organic,bing / organic,bing / organic,6,bing / organic > bing / organic > (direct) / (none) > bing / cpc > meetme.so / referral > bing / organic,bing / organic > bing / organic > (direct) / (none) > Contactually Brand|Name (Exact) > meetme.so / referral > bing / organic,1
2016/06,Organic,bing / organic,bing / organic,login.microsoftonline.com / referral,login.microsoftonline.com / referral,4,bing / organic > (direct) / (none) > account.live.com / referral > login.microsoftonline.com / referral,bing / organic > (direct) / (none) > account.live.com / referral > login.microsoftonline.com / referral,1
2016/06,Organic,bing / organic,bing / organic,accounts.google.com / referral,accounts.google.com / referral,3,bing / organic > (direct) / (none) > accounts.google.com / referral,bing / organic > (direct) / (none) > accounts.google.com / referral,1
2016/06,Organic,bing / organic,bing / organic,account.live.com / referral,account.live.com / referral,2,bing / organic > account.live.com / referral,bing / organic > account.live.com / referral,1
2016/06,Organic,bing / organic,bing / organic,accounts.google.com / referral,accounts.google.com / referral,4,bing / organic > account.live.com / referral > login.microsoftonline.com / referral > accounts.google.com / referral,bing / organic > account.live.com / referral > login.microsoftonline.com / referral > accounts.google.com / referral,1
2016/06,Organic,bing / organic,bing / organic,(direct) / (none),(direct) / (none),3,bing / organic > accounts.google.com / referral > (direct) / (none),bing / organic > accounts.google.com / referral > (direct) / (none),1
2016/06,Organic,baidu / organic,baidu / organic,accounts.google.com / referral,accounts.google.com / referral,5,baidu / organic > (direct) / (none) > accounts.google.com / referral > baidu / organic > accounts.google.com / referral,baidu / organic > (direct) / (none) > accounts.google.com / referral > baidu / organic > accounts.google.com / referral,1
2016/06,Organic,yahoo / organic,yahoo / organic,yahoo / organic,yahoo / organic,1,yahoo / organic,yahoo / organic,1
2016/06,Organic,yahoo / organic,yahoo / organic,accounts.google.com / referral,accounts.google.com / referral,7,yahoo / organic > contactually.com / referral > yahoo / organic > bing / cpc > yahoo / organic > (direct) / (none) > accounts.google.com / referral,yahoo / organic > contactually.com / referral > yahoo / organic > Contactually Brand|Name (Exact) > yahoo / organic > (direct) / (none) > accounts.google.com / referral,1
2016/06,Organic,google / organic,google / organic,placester.com / referral,placester.com / referral,2,google / organic > placester.com / referral,google / organic > placester.com / referral,1
2016/06,Organic,google / organic,google / organic,login.microsoftonline.com / referral,login.microsoftonline.com / referral,3,google / organic > account.live.com / referral > login.microsoftonline.com / referral,google / organic > account.live.com / referral > login.microsoftonline.com / referral,1
2016/06,Organic,google / organic,google / organic,accounts.google.com / referral,accounts.google.com / referral,4,google / organic > contactually.com / referral > google / cpc > accounts.google.com / referral,google / organic > contactually.com / referral > Contactually | WP - Brand > accounts.google.com / referral,1
2016/06,Organic,google / organic,google / organic,(direct) / (none),(direct) / (none),5,google / organic > contactually.com / referral > (direct) / (none) > (direct) / (none) > (direct) / (none),google / organic > contactually.com / referral > (direct) / (none) > (direct) / (none) > (direct) / (none),1
2016/06,Organic,google / organic,google / organic,accounts.google.com / referral,accounts.google.com / referral,4,google / organic > activecampaign.com / referral > google / organic > accounts.google.com / referral,google / organic > activecampaign.com / referral > google / organic > accounts.google.com / referral,1
2016/06,Organic,google / organic,google / organic,accounts.google.com / referral,accounts.google.com / referral,3,google / organic > accounts.google.com / referral > accounts.google.com / referral,google / organic > accounts.google.com / referral > accounts.google.com / referral,1
2016/06,Organic,google / organic,google / organic,(direct) / (none),(direct) / (none),3,google / organic > accounts.google.com / referral > (direct) / (none),google / organic > accounts.google.com / referral > (direct) / (none),1
2016/06,Organic,google / organic,google / organic,accounts.google.com / referral,accounts.google.com / referral,7,google / organic > accounts.google.com / referral > google / organic > (direct) / (none) > accounts.google.com / referral > google / organic > accounts.google.com / referral,google / organic > accounts.google.com / referral > google / organic > (direct) / (none) > accounts.google.com / referral > google / organic > accounts.google.com / referral,1
2016/06,Organic,google / organic,google / organic,(direct) / (none),(direct) / (none),5,google / organic > accounts.google.com / referral > google / organic > accounts.google.com / referral > (direct) / (none),google / organic > accounts.google.com / referral > google / organic > accounts.google.com / referral > (direct) / (none),1
2016/06,Organic,google / organic,google / organic,accounts.google.com / referral,accounts.google.com / referral,7,google / organic > accounts.google.com / referral > google / organic > accounts.google.com / referral > (direct) / (none) > google / organic > accounts.google.com / referral,google / organic > accounts.google.com / referral > google / organic > accounts.google.com / referral > (direct) / (none) > google / organic > accounts.google.com / referral,1
2016/06,Organic,google / organic,google / organic,hs_automation / email,(not set),3,google / organic > accounts.google.com / referral > hs_automation / email,google / organic > accounts.google.com / referral > (not set),1
2016/06,Organic,google / organic,google / organic,accounts.google.com / referral,accounts.google.com / referral,4,google / organic > accounts.google.com / referral > hs_automation / email > accounts.google.com / referral,google / organic > accounts.google.com / referral > (not set) > accounts.google.com / referral,1
2016/06,Organic,google / organic,google / organic,accounts.google.com / referral,accounts.google.com / referral,4,google / organic > bookyourselfsolid.com / referral > referral / referral > accounts.google.com / referral,google / organic > bookyourselfsolid.com / referral > bookyourselfsolid > accounts.google.com / referral,1
2016/06,Organic,google / organic,google / organic,accounts.google.com / referral,accounts.google.com / referral,6,google / organic > blog.contactually.com / referral > (direct) / (none) > (direct) / (none) > google / organic > accounts.google.com / referral,google / organic > blog.contactually.com / referral > (direct) / (none) > (direct) / (none) > google / organic > accounts.google.com / referral,1
2016/06,Organic,google / organic,google / organic,accounts.google.com / referral,accounts.google.com / referral,3,google / organic > PPC / CPC > accounts.google.com / referral,google / organic > G2Crowd Free Trial Button > accounts.google.com / referral,1
2016/06,Organic,google / organic,google / organic,(direct) / (none),(direct) / (none),3,google / organic > Other Campaigns / Reseller Partners > (direct) / (none),google / organic > Reseller Partners > (direct) / (none),1
2016/06,Organic,google / organic,google / organic,login.microsoftonline.com / referral,login.microsoftonline.com / referral,3,google / organic > login.microsoftonline.com / referral > login.microsoftonline.com / referral,google / organic > login.microsoftonline.com / referral > login.microsoftonline.com / referral,1
2016/06,Organic,google / organic,google / organic,(direct) / (none),(direct) / (none),7,google / organic > login.microsoftonline.com / referral > login.microsoftonline.com / referral > (direct) / (none) > hs_automation / email > accounts.google.com / referral > (direct) / (none),google / organic > login.microsoftonline.com / referral > login.microsoftonline.com / referral > (direct) / (none) > (not set) > accounts.google.com / referral > (direct) / (none),1
2016/06,Organic,google / organic,google / organic,accounts.google.com / referral,accounts.google.com / referral,12,google / organic > login.microsoftonline.com / referral > login.microsoftonline.com / referral > (direct) / (none) > hs_automation / email > accounts.google.com / referral > (direct) / (none) > hs_automation / email > accounts.google.com / referral > login.microsoftonline.com / referral > accounts.google.com / referral > accounts.google.com / referral,google / organic > login.microsoftonline.com / referral > login.microsoftonline.com / referral > (direct) / (none) > (not set) > accounts.google.com / referral > (direct) / (none) > (not set) > accounts.google.com / referral > login.microsoftonline.com / referral > accounts.google.com / referral > accounts.google.com / referral,1
2016/06,Organic,google / organic,google / organic,login.microsoftonline.com / referral,login.microsoftonline.com / referral,3,google / organic > google / cpc > login.microsoftonline.com / referral,google / organic > Contactually | WP - Brand > login.microsoftonline.com / referral,1
